mo,fullname,genus,species,kingdom,phylum,class,fullname
F_ASPRG_PRFL,Aspergillus parafelis,Aspergillus,parafelis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus parafelis
F_ASPRG_PNMN,Aspergillus panamensis,Aspergillus,panamensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus panamensis
F_ASPRG_PLLDS,Aspergillus pallidus,Aspergillus,pallidus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pallidus
F_ASPRG_PLLD,Aspergillus pallidofulvus,Aspergillus,pallidofulvus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pallidofulvus
F_ASPRG_PLCS,Aspergillus paleaceus,Aspergillus,paleaceus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus paleaceus
F_ASPRG_PRST_GLBS,Aspergillus parasiticus globosus,Aspergillus,parasiticus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus parasiticus globosus
F_ASPRG_PNCL,Aspergillus penicilliformis,Aspergillus,penicilliformis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus penicilliformis
F_ASPRG_OLCL,Aspergillus oleicola,Aspergillus,oleicola,Fungi,Ascomycota,Eurotiomycetes,Aspergillus oleicola
F_ASPRG_ORLN,Aspergillus oerlinghausenensis,Aspergillus,oerlinghausenensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus oerlinghausenensis
F_ASPRG_NGRS,Aspergillus nigrescens,Aspergillus,nigrescens,Fungi,Ascomycota,Eurotiomycetes,Aspergillus nigrescens
F_ASPRG_NIGR_NANS,Aspergillus niger nanus,Aspergillus,niger,Fungi,Ascomycota,Eurotiomycetes,Aspergillus niger nanus
F_ASPRG_NIGR_INTR,Aspergillus niger intermedius,Aspergillus,niger,Fungi,Ascomycota,Eurotiomycetes,Aspergillus niger intermedius
F_ASPRG_NIGR,Aspergillus niger,Aspergillus,niger,Fungi,Ascomycota,Eurotiomycetes,Aspergillus niger
F_ASPRG_NDLN_IMMN,Aspergillus nidulans imminutus,Aspergillus,nidulans,Fungi,Ascomycota,Eurotiomycetes,Aspergillus nidulans imminutus
F_ASPRG_NDLN_RTLR,Aspergillus nidulans fertilior,Aspergillus,nidulans,Fungi,Ascomycota,Eurotiomycetes,Aspergillus nidulans fertilior
F_ASPRG_NGRC,Aspergillus nigricans,Aspergillus,nigricans,Fungi,Ascomycota,Eurotiomycetes,Aspergillus nigricans
F_ASPRG_NDLN,Aspergillus nidulans,Aspergillus,nidulans,Fungi,Ascomycota,Eurotiomycetes,Aspergillus nidulans
F_ASPRG_NTRR,Aspergillus neoterreus,Aspergillus,neoterreus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus neoterreus
F_ASPRG_NSTY,Aspergillus neosteynii,Aspergillus,neosteynii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus neosteynii
F_ASPRG_NPRD,Aspergillus neoparadoxus,Aspergillus,neoparadoxus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus neoparadoxus
F_ASPRG_NCHR,Aspergillus neoochraceus,Aspergillus,neoochraceus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus neoochraceus
F_ASPRG_NNVS,Aspergillus neoniveus,Aspergillus,neoniveus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus neoniveus
F_ASPRG_NNDC,Aspergillus neoindicus,Aspergillus,neoindicus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus neoindicus
F_ASPRG_NTRT,Aspergillus neotritici,Aspergillus,neotritici,Fungi,Ascomycota,Eurotiomycetes,Aspergillus neotritici
F_ASPRG_OKVN,Aspergillus okavangoensis,Aspergillus,okavangoensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus okavangoensis
F_ASPRG_NSHM,Aspergillus nishimurae,Aspergillus,nishimurae,Fungi,Ascomycota,Eurotiomycetes,Aspergillus nishimurae
F_ASPRG_NLTN,Aspergillus noelting,Aspergillus,noelting,Fungi,Ascomycota,Eurotiomycetes,Aspergillus noelting
F_ASPRG_HRCS_OCHR,Aspergillus ochraceus ochraceus,Aspergillus,ochraceus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus ochraceus ochraceus
F_ASPRG_HRCS,Aspergillus ochraceus,Aspergillus,ochraceus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus ochraceus
F_ASPRG_RCRBR,Aspergillus ochraceoruber,Aspergillus,ochraceoruber,Fungi,Ascomycota,Eurotiomycetes,Aspergillus ochraceoruber
F_ASPRG_OCHRC,Aspergillus ochraceoroseus,Aspergillus,ochraceoroseus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus ochraceoroseus
F_ASPRG_OCHR,Aspergillus ochraceopetaliformis,Aspergillus,ochraceopetaliformis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus ochraceopetaliformis
F_ASPRG_OCCL,Aspergillus occultus,Aspergillus,occultus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus occultus
F_ASPRG_NIVS,Aspergillus niveus,Aspergillus,niveus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus niveus
F_ASPRG_NTNS,Aspergillus nutans,Aspergillus,nutans,Fungi,Ascomycota,Eurotiomycetes,Aspergillus nutans
F_ASPRG_NVPR,Aspergillus novoparasiticus,Aspergillus,novoparasiticus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus novoparasiticus
F_ASPRG_NVGN,Aspergillus novoguineensis,Aspergillus,novoguineensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus novoguineensis
F_ASPRG_NVFM,Aspergillus novofumigatus,Aspergillus,novofumigatus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus novofumigatus
F_ASPRG_NONM,Aspergillus noonimiae,Aspergillus,noonimiae,Fungi,Ascomycota,Eurotiomycetes,Aspergillus noonimiae
F_ASPRG_NOMS,Aspergillus nomius,Aspergillus,nomius,Fungi,Ascomycota,Eurotiomycetes,Aspergillus nomius
F_ASPRG_NOMI,Aspergillus nomiae,Aspergillus,nomiae,Fungi,Ascomycota,Eurotiomycetes,Aspergillus nomiae
F_ASPRG_NOVS,Aspergillus novus,Aspergillus,novus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus novus
F_ASPRG_PNCLL,Aspergillus penicillioides,Aspergillus,penicillioides,Fungi,Ascomycota,Eurotiomycetes,Aspergillus penicillioides
F_ASPRG_LPSS,Aspergillus penicillopsis,Aspergillus,penicillopsis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus penicillopsis
F_ASPRG_PRCN,Aspergillus periconioides,Aspergillus,periconioides,Fungi,Ascomycota,Eurotiomycetes,Aspergillus periconioides
F_ASPRG_PRPR,Aspergillus purpureus,Aspergillus,purpureus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus purpureus
F_ASPRG_PRPRF,Aspergillus purpureofuscus,Aspergillus,purpureofuscus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus purpureofuscus
F_ASPRG_PRPRC,Aspergillus purpureocrustaceus,Aspergillus,purpureocrustaceus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus purpureocrustaceus
F_ASPRG_PNCS,Aspergillus puniceus,Aspergillus,puniceus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus puniceus
F_ASPRG_PLVN,Aspergillus pulvinus,Aspergillus,pulvinus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pulvinus
F_ASPRG_PLVR,Aspergillus pulvericola,Aspergillus,pulvericola,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pulvericola
F_ASPRG_PSLL,Aspergillus pusillus,Aspergillus,pusillus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pusillus
F_ASPRG_PLMH,Aspergillus pulmonum-hominis,Aspergillus,pulmonum-hominis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pulmonum-hominis
F_ASPRG_DSTS,Aspergillus pseudoustus,Aspergillus,pseudoustus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pseudoustus
F_ASPRG_PSDTB,Aspergillus pseudotubingensis,Aspergillus,pseudotubingensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pseudotubingensis
F_ASPRG_PSDTR,Aspergillus pseudoterreus,Aspergillus,pseudoterreus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pseudoterreus
F_ASPRG_PSDT,Aspergillus pseudotamarii,Aspergillus,pseudotamarii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pseudotamarii
F_ASPRG_TYNI,Aspergillus pseudosteynii,Aspergillus,pseudosteynii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pseudosteynii
F_ASPRG_PSDSC,Aspergillus pseudosclerotiorum,Aspergillus,pseudosclerotiorum,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pseudosclerotiorum
F_ASPRG_PSDV,Aspergillus pseudoviridinutans,Aspergillus,pseudoviridinutans,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pseudoviridinutans
F_ASPRG_PSDN,Aspergillus pseudonomius,Aspergillus,pseudonomius,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pseudonomius
F_ASPRG_QLNY,Aspergillus qilianyuensis,Aspergillus,qilianyuensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus qilianyuensis
F_ASPRG_QZTN,Aspergillus qizutongii,Aspergillus,qizutongii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus qizutongii
F_ASPRG_RPNS_CLSS,Aspergillus repens parvivesiculosus,Aspergillus,repens,Fungi,Ascomycota,Eurotiomycetes,Aspergillus repens parvivesiculosus
F_ASPRG_RPND,Aspergillus repandus,Aspergillus,repandus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus repandus
F_ASPRG_RCRV,Aspergillus recurvatus,Aspergillus,recurvatus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus recurvatus
F_ASPRG_RCFN,Aspergillus recifensis,Aspergillus,recifensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus recifensis
F_ASPRG_RAPR,Aspergillus raperi,Aspergillus,raperi,Fungi,Ascomycota,Eurotiomycetes,Aspergillus raperi
F_ASPRG_RMSS,Aspergillus ramosus,Aspergillus,ramosus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus ramosus
F_ASPRG_QNQX,Aspergillus qinqixianii,Aspergillus,qinqixianii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus qinqixianii
F_ASPRG_RMBL,Aspergillus rambellii,Aspergillus,rambellii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus rambellii
F_ASPRG_RCMSS,Aspergillus racemosus,Aspergillus,racemosus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus racemosus
F_ASPRG_QTNS,Aspergillus quitensis,Aspergillus,quitensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus quitensis
F_ASPRG_QUNN,Aspergillus quininae,Aspergillus,quininae,Fungi,Ascomycota,Eurotiomycetes,Aspergillus quininae
F_ASPRG_QDRL,Aspergillus quadrilineatus,Aspergillus,quadrilineatus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus quadrilineatus
F_ASPRG_QDRF,Aspergillus quadrifidus,Aspergillus,quadrifidus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus quadrifidus
F_ASPRG_NGNS,Aspergillus quadricingens,Aspergillus,quadricingens,Fungi,Ascomycota,Eurotiomycetes,Aspergillus quadricingens
F_ASPRG_RANS,Aspergillus raianus,Aspergillus,raianus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus raianus
F_ASPRG_PSDNM,Aspergillus pseudonomiae,Aspergillus,pseudonomiae,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pseudonomiae
F_ASPRG_RCLS,Aspergillus pseudogracilis,Aspergillus,pseudogracilis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pseudogracilis
F_ASPRG_PSDG,Aspergillus pseudoglaucus,Aspergillus,pseudoglaucus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pseudoglaucus
F_ASPRG_PLRS,Aspergillus pluriseminatus,Aspergillus,pluriseminatus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pluriseminatus
F_ASPRG_PLMR,Aspergillus plumeriae,Aspergillus,plumeriae,Fungi,Ascomycota,Eurotiomycetes,Aspergillus plumeriae
F_ASPRG_PISC,Aspergillus pisce,Aspergillus,pisce,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pisce
F_ASPRG_PPRC,Aspergillus pipericola,Aspergillus,pipericola,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pipericola
F_ASPRG_PDPL,Aspergillus pidoplichkovii,Aspergillus,pidoplichkovii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pidoplichkovii
F_ASPRG_PHNC,Aspergillus phoenicis,Aspergillus,phoenicis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus phoenicis
F_ASPRG_PLYC,Aspergillus polychromus,Aspergillus,polychromus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus polychromus
F_ASPRG_MPLX,Aspergillus phialosimplex,Aspergillus,phialosimplex,Fungi,Ascomycota,Eurotiomycetes,Aspergillus phialosimplex
F_ASPRG_PHLF,Aspergillus phialiformis,Aspergillus,phialiformis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus phialiformis
F_ASPRG_PYRN,Aspergillus peyronelii,Aspergillus,peyronelii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus peyronelii
F_ASPRG_PTRK,Aspergillus petrakii,Aspergillus,petrakii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus petrakii
F_ASPRG_PTRS,Aspergillus petersonii,Aspergillus,petersonii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus petersonii
F_ASPRG_PERS,Aspergillus persii,Aspergillus,persii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus persii
F_ASPRG_PRNM,Aspergillus pernambucoensis,Aspergillus,pernambucoensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pernambucoensis
F_ASPRG_SPTCS,Aspergillus phialisepticus,Aspergillus,phialisepticus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus phialisepticus
F_ASPRG_PLYP,Aspergillus polyporicola,Aspergillus,polyporicola,Fungi,Ascomycota,Eurotiomycetes,Aspergillus polyporicola
F_ASPRG_PRSS,Aspergillus porosus,Aspergillus,porosus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus porosus
F_ASPRG_PRPH,Aspergillus porphyreostipitatus,Aspergillus,porphyreostipitatus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus porphyreostipitatus
F_ASPRG_PSDFM,Aspergillus pseudofumigatus,Aspergillus,pseudofumigatus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pseudofumigatus
F_ASPRG_PSDFL,Aspergillus pseudoflavus,Aspergillus,pseudoflavus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pseudoflavus
F_ASPRG_PSDF,Aspergillus pseudofelis,Aspergillus,pseudofelis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pseudofelis
F_ASPRG_PSDL,Aspergillus pseudoelegans,Aspergillus,pseudoelegans,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pseudoelegans
F_ASPRG_DLTR,Aspergillus pseudoelatior,Aspergillus,pseudoelatior,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pseudoelatior
F_ASPRG_PSDD,Aspergillus pseudodeflectus,Aspergillus,pseudodeflectus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pseudodeflectus
F_ASPRG_PSDCLV,Aspergillus pseudoclavatus,Aspergillus,pseudoclavatus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pseudoclavatus
F_ASPRG_PSDCR,Aspergillus pseudocarbonarius,Aspergillus,pseudocarbonarius,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pseudocarbonarius
F_ASPRG_PSDC,Aspergillus pseudocaelatus,Aspergillus,pseudocaelatus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pseudocaelatus
F_ASPRG_PSDLB,Aspergillus pseudoalabamensis,Aspergillus,pseudoalabamensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pseudoalabamensis
F_ASPRG_PSDCL,Aspergillus pseudoaculeatus,Aspergillus,pseudoaculeatus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pseudoaculeatus
F_ASPRG_PRLF,Aspergillus proliferans,Aspergillus,proliferans,Fungi,Ascomycota,Eurotiomycetes,Aspergillus proliferans
F_ASPRG_PRML,Aspergillus primulinus,Aspergillus,primulinus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus primulinus
F_ASPRG_PRGN,Aspergillus pragensis,Aspergillus,pragensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus pragensis
F_ASPRG_PSDS,Aspergillus posadasensis,Aspergillus,posadasensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus posadasensis
F_ASPRG_VLLS,Aspergillus villosus,Aspergillus,villosus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus villosus
F_ASPRG_NGLB,Aspergillus neoglaber,Aspergillus,neoglaber,Fungi,Ascomycota,Eurotiomycetes,Aspergillus neoglaber
F_ASPRG_VNSB,Aspergillus vinosobubalinus,Aspergillus,vinosobubalinus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus vinosobubalinus
F_ASPRG_VILCS,Aspergillus violaceus,Aspergillus,violaceus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus violaceus
B_PSDMN_CRCP,Pseudomonas caricapapayae,Pseudomonas,caricapapayae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas caricapapayae
B_PSDMN_CRBX,Pseudomonas carboxydohydrogena,Pseudomonas,carboxydohydrogena,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas carboxydohydrogena
B_PSDMN_CRBN,Pseudomonas carbonaria,Pseudomonas,carbonaria,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas carbonaria
B_PSDMN_CPSC,Pseudomonas capsici,Pseudomonas,capsici,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas capsici
B_PSDMN_CANN,Pseudomonas cannae,Pseudomonas,cannae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas cannae
B_PSDMN_CNNB,Pseudomonas cannabina,Pseudomonas,cannabina,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas cannabina
B_PSDMN_CRNS,Pseudomonas carnis,Pseudomonas,carnis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas carnis
B_PSDMN_CNVN,Pseudomonas canavaninivorans,Pseudomonas,canavaninivorans,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas canavaninivorans
B_PSDMN_CAMP,Pseudomonas campi,Pseudomonas,campi,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas campi
B_PSDMN_CLFR,Pseudomonas californiensis,Pseudomonas,californiensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas californiensis
B_PSDMN_BUBL,Pseudomonas bubulae,Pseudomonas,bubulae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas bubulae
B_PSDMN_BRNN,Pseudomonas brenneri,Pseudomonas,brenneri,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas brenneri
B_PSDMN_SSCE,Pseudomonas brassicae,Pseudomonas,brassicae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas brassicae
B_PSDMN_BRSS_NRNT,Pseudomonas brassicacearum neoaurantiaca,Pseudomonas,brassicacearum,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas brassicacearum neoaurantiaca
B_PSDMN_CNDN,Pseudomonas canadensis,Pseudomonas,canadensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas canadensis
B_PSDMN_BRSS_BRSS,Pseudomonas brassicacearum brassicacearum,Pseudomonas,brassicacearum,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas brassicacearum brassicacearum
B_PSDMN_CSPN,Pseudomonas caspiana,Pseudomonas,caspiana,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas caspiana
B_PSDMN_NCLA,Pseudomonas cavernicola,Pseudomonas,cavernicola,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas cavernicola
B_PSDMN_CLPT,Pseudomonas coleopterorum,Pseudomonas,coleopterorum,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas coleopterorum
B_PSDMN_CTRN,Pseudomonas citronellolis,Pseudomonas,citronellolis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas citronellolis
B_PSDMN_CITR,Pseudomonas citri,Pseudomonas,citri,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas citri
B_PSDMN_CCHR,Pseudomonas cichorii,Pseudomonas,cichorii,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas cichorii
B_PSDMN_CHLR_PSCM,Pseudomonas chlororaphis piscium,Pseudomonas,chlororaphis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas chlororaphis piscium
B_PSDMN_CHLR_CHLR,Pseudomonas chlororaphis chlororaphis,Pseudomonas,chlororaphis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas chlororaphis chlororaphis
B_PSDMN_CVRN,Pseudomonas cavernae,Pseudomonas,cavernae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas cavernae
B_PSDMN_CHLR_ARFC,Pseudomonas chlororaphis aureofaciens,Pseudomonas,chlororaphis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas chlororaphis aureofaciens
B_PSDMN_CHLR,Pseudomonas chlororaphis,Pseudomonas,chlororaphis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas chlororaphis
B_PSDMN_CHNG,Pseudomonas chengduensis,Pseudomonas,chengduensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas chengduensis
B_PSDMN_CERS,Pseudomonas cerasi,Pseudomonas,cerasi,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas cerasi
B_PSDMN_CDRN_FLGD,Pseudomonas cedrina fulgida,Pseudomonas,cedrina,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas cedrina fulgida
B_PSDMN_CDRN_CDRN,Pseudomonas cedrina cedrina,Pseudomonas,cedrina,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas cedrina cedrina
B_PSDMN_CDRN,Pseudomonas cedrina,Pseudomonas,cedrina,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas cedrina
B_PSDMN_CHLR_ARNT,Pseudomonas chlororaphis aurantiaca,Pseudomonas,chlororaphis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas chlororaphis aurantiaca
B_PSDMN_CMPS,Pseudomonas composti,Pseudomonas,composti,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas composti
B_PSDMN_BRSS,Pseudomonas brassicacearum,Pseudomonas,brassicacearum,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas brassicacearum
B_PSDMN_BRPL,Pseudomonas boreopolis,Pseudomonas,boreopolis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas boreopolis
B_PSDMN_ATGN,Pseudomonas atagonensis,Pseudomonas,atagonensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas atagonensis
B_PSDMN_ATCM,Pseudomonas atacamensis,Pseudomonas,atacamensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas atacamensis
B_PSDMN_ASTR,Pseudomonas asturiensis,Pseudomonas,asturiensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas asturiensis
B_PSDMN_ASPL,Pseudomonas asplenii,Pseudomonas,asplenii,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas asplenii
B_PSDMN_ASTC,Pseudomonas asiatica,Pseudomonas,asiatica,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas asiatica
B_PSDMN_ASGH,Pseudomonas asgharzadehiana,Pseudomonas,asgharzadehiana,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas asgharzadehiana
B_PSDMN_AVLL,Pseudomonas avellanae,Pseudomonas,avellanae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas avellanae
B_PSDMN_ARSN,Pseudomonas arsenicoxydans,Pseudomonas,arsenicoxydans,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas arsenicoxydans
B_PSDMN_ARGN,Pseudomonas argentinensis,Pseudomonas,argentinensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas argentinensis
