mo,fullname,genus,species,kingdom,phylum,class,fullname
B_PSDMN_ARCS,Pseudomonas arcuscaelestis,Pseudomonas,arcuscaelestis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas arcuscaelestis
B_PSDMN_APHY,Pseudomonas aphyarum,Pseudomonas,aphyarum,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas aphyarum
B_PSDMN_ANRD,Pseudomonas anuradhapurensis,Pseudomonas,anuradhapurensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas anuradhapurensis
B_PSDMN_ANTR,Pseudomonas antarctica,Pseudomonas,antarctica,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas antarctica
B_PSDMN_ANGL,Pseudomonas anguilliseptica,Pseudomonas,anguilliseptica,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas anguilliseptica
B_PSDMN_ARMT,Pseudomonas aromaticivorans,Pseudomonas,aromaticivorans,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas aromaticivorans
B_PSDMN_BTVN,Pseudomonas botevensis,Pseudomonas,botevensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas botevensis
B_PSDMN_AYLM,Pseudomonas aylmerensis,Pseudomonas,aylmerensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas aylmerensis
B_PSDMN_AZRBJ,Pseudomonas azerbaijanoccidentalis,Pseudomonas,azerbaijanoccidentalis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas azerbaijanoccidentalis
B_PSDMN_BRBR,Pseudomonas borbori,Pseudomonas,borbori,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas borbori
B_PSDMN_BHMC,Pseudomonas bohemica,Pseudomonas,bohemica,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas bohemica
B_PSDMN_BNNS,Pseudomonas boanensis,Pseudomonas,boanensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas boanensis
B_PSDMN_BJNS,Pseudomonas bijieensis,Pseudomonas,bijieensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas bijieensis
B_PSDMN_BETL,Pseudomonas beteli,Pseudomonas,beteli,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas beteli
B_PSDMN_BNZP,Pseudomonas benzopyrenica,Pseudomonas,benzopyrenica,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas benzopyrenica
B_PSDMN_AZAD,Pseudomonas azadiae,Pseudomonas,azadiae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas azadiae
B_PSDMN_BNZN,Pseudomonas benzenivorans,Pseudomonas,benzenivorans,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas benzenivorans
B_PSDMN_BLTC,Pseudomonas baltica,Pseudomonas,baltica,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas baltica
B_PSDMN_BLRC,Pseudomonas balearica,Pseudomonas,balearica,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas balearica
B_PSDMN_BATC,Pseudomonas baetica,Pseudomonas,baetica,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas baetica
B_PSDMN_RMNS,Pseudomonas azotoformans,Pseudomonas,azotoformans,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas azotoformans
B_PSDMN_AZTF,Pseudomonas azotifigens,Pseudomonas,azotifigens,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas azotifigens
B_PSDMN_RNTLS,Pseudomonas azerbaijanorientalis,Pseudomonas,azerbaijanorientalis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas azerbaijanorientalis
B_PSDMN_BNNM,Pseudomonas bananamidigenes,Pseudomonas,bananamidigenes,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas bananamidigenes
B_PSDMN_ANTL,Pseudomonas anatoliensis,Pseudomonas,anatoliensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas anatoliensis
B_PSDMN_CNGL,Pseudomonas congelans,Pseudomonas,congelans,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas congelans
B_PSDMN_CSTN,Pseudomonas costantinii,Pseudomonas,costantinii,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas costantinii
B_STRPT_ASTR,Streptococcus australis,Streptococcus,australis,Bacteria,Bacillota,Bacilli,Streptococcus australis
B_STRPT_ANGN_WHLY,Streptococcus anginosus whileyi,Streptococcus,anginosus,Bacteria,Bacillota,Bacilli,Streptococcus anginosus whileyi
B_STRPT_ANGN_ANGN,Streptococcus anginosus anginosus,Streptococcus,anginosus,Bacteria,Bacillota,Bacilli,Streptococcus anginosus anginosus
B_STRPT_ANGN,Streptococcus anginosus,Streptococcus,anginosus,Bacteria,Bacillota,Bacilli,Streptococcus anginosus
B_STRPT_ALCT,Streptococcus alactolyticus,Streptococcus,alactolyticus,Bacteria,Bacillota,Bacilli,Streptococcus alactolyticus
B_STRPT_AGLC,Streptococcus agalactiae,Streptococcus,agalactiae,Bacteria,Bacillota,Bacilli,Streptococcus agalactiae
B_STRPT_AZIZ,Streptococcus azizii,Streptococcus,azizii,Bacteria,Bacillota,Bacilli,Streptococcus azizii
B_STRPT_ACDM,Streptococcus acidominimus,Streptococcus,acidominimus,Bacteria,Bacillota,Bacilli,Streptococcus acidominimus
B_PSDMN_GLYC,Pseudomonas glycinae,Pseudomonas,glycinae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas glycinae
B_PSDMN_GLAR,Pseudomonas glareae,Pseudomonas,glareae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas glareae
B_PSDMN_GSSR,Pseudomonas gessardii,Pseudomonas,gessardii,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas gessardii
B_PSDMN_GRMNC,Pseudomonas germanica,Pseudomonas,germanica,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas germanica
B_PSDMN_GLDC,Pseudomonas gelidicola,Pseudomonas,gelidicola,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas gelidicola
B_PSDMN_FRKW,Pseudomonas furukawaii,Pseudomonas,furukawaii,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas furukawaii
B_STRPT_GRPL,Streptococcus Group L,Streptococcus,Group L,Bacteria,Bacillota,Bacilli,Streptococcus Group L
B_PSDMN_FULV,Pseudomonas fulva,Pseudomonas,fulva,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas fulva
B_STRPT_BVMS,Streptococcus bovimastitidis,Streptococcus,bovimastitidis,Bacteria,Bacillota,Bacilli,Streptococcus bovimastitidis
B_STRPT_CCMR,Streptococcus caecimuris,Streptococcus,caecimuris,Bacteria,Bacillota,Bacilli,Streptococcus caecimuris
B_STRPT_CRCT,Streptococcus criceti,Streptococcus,criceti,Bacteria,Bacillota,Bacilli,Streptococcus criceti
B_STRPT_CNST_VBRG,Streptococcus constellatus viborgensis,Streptococcus,constellatus,Bacteria,Bacillota,Bacilli,Streptococcus constellatus viborgensis
B_STRPT_CNST_PHRY,Streptococcus constellatus pharyngis,Streptococcus,constellatus,Bacteria,Bacillota,Bacilli,Streptococcus constellatus pharyngis
B_STRPT_CNST_CNST,Streptococcus constellatus constellatus,Streptococcus,constellatus,Bacteria,Bacillota,Bacilli,Streptococcus constellatus constellatus
B_STRPT_CNST,Streptococcus constellatus,Streptococcus,constellatus,Bacteria,Bacillota,Bacilli,Streptococcus constellatus
B_STRPT_CHSN,Streptococcus chosunense,Streptococcus,chosunense,Bacteria,Bacillota,Bacilli,Streptococcus chosunense
B_STRPT_CBLL,Streptococcus caballi,Streptococcus,caballi,Bacteria,Bacillota,Bacilli,Streptococcus caballi
B_STRPT_CHNJ,Streptococcus chenjunshii,Streptococcus,chenjunshii,Bacteria,Bacillota,Bacilli,Streptococcus chenjunshii
B_STRPT_CTGN,Streptococcus catagoni,Streptococcus,catagoni,Bacteria,Bacillota,Bacilli,Streptococcus catagoni
B_STRPT_CSTR,Streptococcus castoreus,Streptococcus,castoreus,Bacteria,Bacillota,Bacilli,Streptococcus castoreus
B_STRPT_CAPR,Streptococcus caprae,Streptococcus,caprae,Bacteria,Bacillota,Bacilli,Streptococcus caprae
B_STRPT_CANS,Streptococcus canis,Streptococcus,canis,Bacteria,Bacillota,Bacilli,Streptococcus canis
B_STRPT_CAML,Streptococcus cameli,Streptococcus,cameli,Bacteria,Bacillota,Bacilli,Streptococcus cameli
B_STRPT_CLDN,Streptococcus caledonicus,Streptococcus,caledonicus,Bacteria,Bacillota,Bacilli,Streptococcus caledonicus
B_STRPT_CAVI,Streptococcus caviae,Streptococcus,caviae,Bacteria,Bacillota,Bacilli,Streptococcus caviae
B_PSDMN_CRRG,Pseudomonas corrugata,Pseudomonas,corrugata,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas corrugata
B_PSDMN_FRDR,Pseudomonas frederiksbergensis,Pseudomonas,frederiksbergensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas frederiksbergensis
B_PSDMN_FNTS,Pseudomonas fontis,Pseudomonas,fontis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas fontis
B_PSDMN_EDPH,Pseudomonas edaphica,Pseudomonas,edaphica,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas edaphica
B_PSDMN_DRYD,Pseudomonas dryadis,Pseudomonas,dryadis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas dryadis
B_PSDMN_DNGH,Pseudomonas donghuensis,Pseudomonas,donghuensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas donghuensis
B_PSDMN_DLHN,Pseudomonas delhiensis,Pseudomonas,delhiensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas delhiensis
B_PSDMN_DFLV,Pseudomonas defluvii,Pseudomonas,defluvii,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas defluvii
B_PSDMN_DCPT,Pseudomonas deceptionensis,Pseudomonas,deceptionensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas deceptionensis
B_PSDMN_EKNN,Pseudomonas ekonensis,Pseudomonas,ekonensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas ekonensis
B_PSDMN_DARN,Pseudomonas daroniae,Pseudomonas,daroniae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas daroniae
B_PSDMN_CYCL,Pseudomonas cyclaminis,Pseudomonas,cyclaminis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas cyclaminis
B_PSDMN_CCMS,Pseudomonas cucumis,Pseudomonas,cucumis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas cucumis
B_PSDMN_CTRC,Pseudomonas cuatrocienegasensis,Pseudomonas,cuatrocienegasensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas cuatrocienegasensis
B_PSDMN_CRDL,Pseudomonas crudilactis,Pseudomonas,crudilactis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas crudilactis
B_PSDMN_CRMR1,Pseudomonas cremoris,Pseudomonas,cremoris,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas cremoris
B_PSDMN_CRMR,Pseudomonas cremoricolorata,Pseudomonas,cremoricolorata,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas cremoricolorata
B_PSDMN_DANB,Pseudomonas danubii,Pseudomonas,danubii,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas danubii
B_PSDMN_FRAG,Pseudomonas fragi,Pseudomonas,fragi,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas fragi
B_PSDMN_ENDP,Pseudomonas endophytica,Pseudomonas,endophytica,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas endophytica
B_PSDMN_EXTR,Pseudomonas extremaustralis,Pseudomonas,extremaustralis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas extremaustralis
B_PSDMN_FOLI,Pseudomonas folii,Pseudomonas,folii,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas folii
B_PSDMN_FLVL,Pseudomonas fluvialis,Pseudomonas,fluvialis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas fluvialis
B_PSDMN_FLRS-C,Pseudomonas fluorescens complex,Pseudomonas,fluorescens complex,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas fluorescens complex
B_PSDMN_FLRS,Pseudomonas fluorescens,Pseudomonas,fluorescens,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas fluorescens
B_PSDMN_FLRD,Pseudomonas floridensis,Pseudomonas,floridensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas floridensis
B_PSDMN_FLXB,Pseudomonas flexibilis,Pseudomonas,flexibilis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas flexibilis
B_PSDMN_ENTM,Pseudomonas entomophila,Pseudomonas,entomophila,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas entomophila
B_PSDMN_FLVS,Pseudomonas flavescens,Pseudomonas,flavescens,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas flavescens
B_PSDMN_FLDS,Pseudomonas fildesensis,Pseudomonas,fildesensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas fildesensis
B_PSDMN_FCSR,Pseudomonas ficuserectae,Pseudomonas,ficuserectae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas ficuserectae
B_PSDMN_FRSN,Pseudomonas farsensis,Pseudomonas,farsensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas farsensis
B_PSDMN_FRRS,Pseudomonas farris,Pseudomonas,farris,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas farris
B_PSDMN_FKNN,Pseudomonas fakonensis,Pseudomonas,fakonensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas fakonensis
B_PSDMN_NTLS,Pseudomonas extremorientalis,Pseudomonas,extremorientalis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas extremorientalis
B_PSDMN_FTMT,Pseudomonas fitomaticsae,Pseudomonas,fitomaticsae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas fitomaticsae
B_PSDMN_AMYG,Pseudomonas amygdali,Pseudomonas,amygdali,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas amygdali
B_PSDMN_ALVN,Pseudomonas alvandae,Pseudomonas,alvandae,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas alvandae
B_PSDMN_ALLP,Pseudomonas alloputida,Pseudomonas,alloputida,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonas alloputida
B_STPHY_CASE,Staphylococcus casei,Staphylococcus,casei,Bacteria,Bacillota,Bacilli,Staphylococcus casei
B_STPHY_CRNS,Staphylococcus carnosus,Staphylococcus,carnosus,Bacteria,Bacillota,Bacilli,Staphylococcus carnosus
B_STPHY_CAPR,Staphylococcus caprae,Staphylococcus,caprae,Bacteria,Bacillota,Bacilli,Staphylococcus caprae
B_STPHY_CPTS_URLY,Staphylococcus capitis urealyticus,Staphylococcus,capitis,Bacteria,Bacillota,Bacilli,Staphylococcus capitis urealyticus
B_STPHY_CPTS_CPTS,Staphylococcus capitis capitis,Staphylococcus,capitis,Bacteria,Bacillota,Bacilli,Staphylococcus capitis capitis
B_STPHY_CPTS,Staphylococcus capitis,Staphylococcus,capitis,Bacteria,Bacillota,Bacilli,Staphylococcus capitis
B_STPHY_CHRM,Staphylococcus chromogenes,Staphylococcus,chromogenes,Bacteria,Bacillota,Bacilli,Staphylococcus chromogenes
B_STPHY_CANS,Staphylococcus canis,Staphylococcus,canis,Bacteria,Bacillota,Bacilli,Staphylococcus canis
B_STPHY_CAEL,Staphylococcus caeli,Staphylococcus,caeli,Bacteria,Bacillota,Bacilli,Staphylococcus caeli
B_STPHY_BRNN,Staphylococcus brunensis,Staphylococcus,brunensis,Bacteria,Bacillota,Bacilli,Staphylococcus brunensis
B_STPHY_BRLS,Staphylococcus borealis,Staphylococcus,borealis,Bacteria,Bacillota,Bacilli,Staphylococcus borealis
B_STPHY_ARCL,Staphylococcus auricularis,Staphylococcus,auricularis,Bacteria,Bacillota,Bacilli,Staphylococcus auricularis
B_STPHY_AURS,Staphylococcus aureus,Staphylococcus,aureus,Bacteria,Bacillota,Bacilli,Staphylococcus aureus
B_STPHY_ARLT,Staphylococcus arlettae,Staphylococcus,arlettae,Bacteria,Bacillota,Bacilli,Staphylococcus arlettae
B_STPHY_CLDN,Staphylococcus caledonicus,Staphylococcus,caledonicus,Bacteria,Bacillota,Bacilli,Staphylococcus caledonicus
B_STPHY_GNTS,Staphylococcus argenteus,Staphylococcus,argenteus,Bacteria,Bacillota,Bacilli,Staphylococcus argenteus
B_STPHY_CGLN,Staphylococcus coagulans,Staphylococcus,coagulans,Bacteria,Bacillota,Bacilli,Staphylococcus coagulans
B_STPHY_CNDM,Staphylococcus condimenti,Staphylococcus,condimenti,Bacteria,Bacillota,Bacilli,Staphylococcus condimenti
B_STPHY_GLLN,Staphylococcus gallinarum,Staphylococcus,gallinarum,Bacteria,Bacillota,Bacilli,Staphylococcus gallinarum
B_STPHY_FLRT,Staphylococcus fleurettii,Staphylococcus,fleurettii,Bacteria,Bacillota,Bacilli,Staphylococcus fleurettii
B_STPHY_FELS,Staphylococcus felis,Staphylococcus,felis,Bacteria,Bacillota,Bacilli,Staphylococcus felis
B_STPHY_EQRM_LNNS,Staphylococcus equorum linens,Staphylococcus,equorum,Bacteria,Bacillota,Bacilli,Staphylococcus equorum linens
B_STPHY_EQRM_EQRM,Staphylococcus equorum equorum,Staphylococcus,equorum,Bacteria,Bacillota,Bacilli,Staphylococcus equorum equorum
B_STPHY_EQRM,Staphylococcus equorum,Staphylococcus,equorum,Bacteria,Bacillota,Bacilli,Staphylococcus equorum
B_STPHY_COHN,Staphylococcus cohnii,Staphylococcus,cohnii,Bacteria,Bacillota,Bacilli,Staphylococcus cohnii
B_STPHY_EPDR,Staphylococcus epidermidis,Staphylococcus,epidermidis,Bacteria,Bacillota,Bacilli,Staphylococcus epidermidis
B_STPHY_DRRL,Staphylococcus durrellii,Staphylococcus,durrellii,Bacteria,Bacillota,Bacilli,Staphylococcus durrellii
B_STPHY_DVRS,Staphylococcus devriesei,Staphylococcus,devriesei,Bacteria,Bacillota,Bacilli,Staphylococcus devriesei
B_STPHY_DLPH,Staphylococcus delphini,Staphylococcus,delphini,Bacteria,Bacillota,Bacilli,Staphylococcus delphini
B_STPHY_DBCK,Staphylococcus debuckii,Staphylococcus,debuckii,Bacteria,Bacillota,Bacilli,Staphylococcus debuckii
B_STPHY_CRCL,Staphylococcus croceilyticus,Staphylococcus,croceilyticus,Bacteria,Bacillota,Bacilli,Staphylococcus croceilyticus
B_STPHY_CRNB,Staphylococcus cornubiensis,Staphylococcus,cornubiensis,Bacteria,Bacillota,Bacilli,Staphylococcus cornubiensis
B_STPHY_EDPH,Staphylococcus edaphicus,Staphylococcus,edaphicus,Bacteria,Bacillota,Bacilli,Staphylococcus edaphicus
B_STPHY_HMLY,Staphylococcus haemolyticus,Staphylococcus,haemolyticus,Bacteria,Bacillota,Bacilli,Staphylococcus haemolyticus
B_STPHY_ARGN,Staphylococcus argensis,Staphylococcus,argensis,Bacteria,Bacillota,Bacilli,Staphylococcus argensis
B_STPHY_AGNT,Staphylococcus agnetis,Staphylococcus,agnetis,Bacteria,Bacillota,Bacilli,Staphylococcus agnetis
F_ASPRG_WENT,Aspergillus wentii,Aspergillus,wentii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus wentii
F_ASPRG_WHMR,Aspergillus wehmeri,Aspergillus,wehmeri,Fungi,Ascomycota,Eurotiomycetes,Aspergillus wehmeri
F_ASPRG_WYNL,Aspergillus waynelawii,Aspergillus,waynelawii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus waynelawii
F_ASPRG_WRCP,Aspergillus warcupii,Aspergillus,warcupii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus warcupii
F_ASPRG_WNGD,Aspergillus wangduanlii,Aspergillus,wangduanlii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus wangduanlii
F_ASPRG_WKSM,Aspergillus waksmanii,Aspergillus,waksmanii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus waksmanii
F_ASPRG_WENT_FUMS,Aspergillus wentii fumeus,Aspergillus,wentii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus wentii fumeus
F_ASPRG_VTRC,Aspergillus vitricola,Aspergillus,vitricola,Fungi,Ascomycota,Eurotiomycetes,Aspergillus vitricola
F_ASPRG_VITS,Aspergillus vitis,Aspergillus,vitis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus vitis
F_ASPRG_VTLL,Aspergillus vitellinus,Aspergillus,vitellinus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus vitellinus
F_ASPRG_VRDN,Aspergillus viridinutans,Aspergillus,viridinutans,Fungi,Ascomycota,Eurotiomycetes,Aspergillus viridinutans
F_ASPRG_VRDG,Aspergillus viridigriseus,Aspergillus,viridigriseus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus viridigriseus
F_ASPRG_VRDC,Aspergillus viridicatenatus,Aspergillus,viridicatenatus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus viridicatenatus
F_ASPRG_VIRNS,Aspergillus virens,Aspergillus,virens,Fungi,Ascomycota,Eurotiomycetes,Aspergillus virens
F_ASPRG_VITS_MNTV,Aspergillus vitis montevidensis,Aspergillus,vitis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus vitis montevidensis
B_STPHY_AMRC,Staphylococcus americanisciuri,Staphylococcus,americanisciuri,Bacteria,Bacillota,Bacilli,Staphylococcus americanisciuri
F_ASPRG_WSTR,Aspergillus westerdijkiae,Aspergillus,westerdijkiae,Fungi,Ascomycota,Eurotiomycetes,Aspergillus westerdijkiae
F_ASPRG_WHTF,Aspergillus whitfieldii,Aspergillus,whitfieldii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus whitfieldii
B_STPHY,Staphylococcus,Staphylococcus,,Bacteria,Bacillota,Bacilli,Staphylococcus
B_EDWRD,Edwardsiella,Edwardsiella,,Bacteria,Pseudomonadota,Gammaproteobacteria,Edwardsiella
B_EDWRD_ANGL,Edwardsiella anguillarum,Edwardsiella,anguillarum,Bacteria,Pseudomonadota,Gammaproteobacteria,Edwardsiella anguillarum
B_EDWRD_HSHN,Edwardsiella hoshinae,Edwardsiella,hoshinae,Bacteria,Pseudomonadota,Gammaproteobacteria,Edwardsiella hoshinae
B_EDWRD_ICTL,Edwardsiella ictaluri,Edwardsiella,ictaluri,Bacteria,Pseudomonadota,Gammaproteobacteria,Edwardsiella ictaluri
B_EDWRD_PSCC,Edwardsiella piscicida,Edwardsiella,piscicida,Bacteria,Pseudomonadota,Gammaproteobacteria,Edwardsiella piscicida
F_ASPRG_WSTL,Aspergillus westlandensis,Aspergillus,westlandensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus westlandensis
B_EDWRD_TARD,Edwardsiella tarda,Edwardsiella,tarda,Bacteria,Pseudomonadota,Gammaproteobacteria,Edwardsiella tarda
F_ASPRG_ZHQN,Aspergillus zhaoqingensis,Aspergillus,zhaoqingensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus zhaoqingensis
F_ASPRG_YNNN,Aspergillus yunnanensis,Aspergillus,yunnanensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus yunnanensis
F_ASPRG_XSHN,Aspergillus xishaensis,Aspergillus,xishaensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus xishaensis
F_ASPRG_XRPH,Aspergillus xerophilus,Aspergillus,xerophilus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus xerophilus
